Name 	|V| 	|E| 	Lifetime 	Max|Min Degree 	#deg 1|2 	(un)stability 	pair stability 	pair stability v2 	c 	delta1=0, delta2=0 	weak max(gamma,unstability) 	delta1=0, delta2=5 	weak max(gamma,unstability) 	delta1=0, delta2=10 	weak max(gamma,unstability) 	delta1=5, delta2=10 	weak max(gamma,unstability) 	
d/animal/insecta-ant-colony4-day37.edges	102	484	[1,69]	33|0	0|0	16	4	3	31	3	2	3	2	3	2	13	8	
d/animal/insecta-ant-colony2-day02.edges	132	6464	[1,181]	128|0	0|0	43	12	9	105	9	5	9	5	9	5	48	27	
d/animal/insecta-ant-colony4-day06.edges	103	3903	[1,57]	96|0	0|0	40	12	9	82	9	5	9	5	9	5	48	28	
d/animal/fish-guppy-familiar-8.edges	7	15	[1,29]	5|0	0|0	2	1	1	0	1	0	1	0	1	0	1	0	
d/animal/fish-guppy-familiar-5.edges	7	15	[8,25]	5|0	0|0	3	1	1	0	1	1	0	1	0	1	0	1	
d/animal/insecta-ant-colony3-day08.edges	161	8482	[1,376]	147|0	0|0	73	18	16	115	13	7	13	7	13	7	71	38	
d/animal/insecta-ant-colony4-day15.edges	102	2144	[1,87]	70|0	0|1	27	10	7	64	7	4	7	4	7	4	37	21	
d/animal/insecta-ant-colony5-day13.edges	152	5995	[1,176]	122|0	0|0	41	13	11	107	11	5	11	5	11	5	46	27	
d/animal/insecta-ant-colony4-day05.edges	103	3929	[1,48]	97|0	0|0	43	12	10	84	10	5	9	5	9	5	48	28	
d/animal/insecta-ant-colony5-day23.edges	152	2945	[1,138]	85|0	0|0	29	10	8	72	8	4	8	4	8	4	34	21	
d/animal/insecta-ant-colony2-day31.edges	131	2008	[1,91]	72|0	0|0	31	11	10	53	10	4	7	4	7	4	31	18	
d/animal/insecta-ant-colony6-day31.edges	165	4383	[1,138]	111|0	0|0	45	14	10	85	10	6	9	6	9	6	49	26	
d/animal/fish-stickleback-group-7.edges	11	45	[0,0]	9|0	0|0	9	0	0	0	0	0	0	0	0	0	0	0	
d/animal/insecta-ant-colony3-day23.edges	161	4647	[1,222]	110|0	0|0	42	11	9	93	9	5	9	5	9	5	48	27	
d/animal/insecta-ant-colony5-day37.edges	152	1492	[1,110]	62|0	0|0	23	8	6	50	6	4	6	4	6	4	26	15	
d/animal/insecta-ant-colony5-day03.edges	153	8634	[1,178]	150|0	0|0	55	14	11	123	11	6	11	6	9	6	66	35	
d/animal/reptilia-tortoise-network-sg.edges	25	26	[1999,2000]	4|0	7|8	4	2	2	1	1	2	1	2	1	2	1	2	
