Name 	|V| 	|E| 	Lifetime 	Max|Min Degree 	#deg 1|2 	(un)stability 	pair stability 	pair stability v2 	c 	delta1=0, delta2=0 	weak max(gamma,unstability) 	delta1=0, delta2=5 	weak max(gamma,unstability) 	delta1=0, delta2=10 	weak max(gamma,unstability) 	delta1=5, delta2=10 	weak max(gamma,unstability) 	
d/mammalia/mammalia-raccoon-proximity-35.edges	25	23	[16,352976]	7|0	0|5	1	0	0	3	0	0	0	0	0	0	1	0	
d/mammalia/mammalia-voles-rob-trapping-20.edges	560	58	[1,4]	4|0	19|16	4	2	1	2	1	1	1	1	1	1	2	1	
d/mammalia/mammalia-voles-bhp-trapping-61.edges	1659	104	[1,10]	6|0	22|20	5	3	3	2	3	2	3	2	2	2	2	2	
d/mammalia/mammalia-baboon-grooming-group09.edges	25	21	[1,5]	3|0	9|9	3	1	1	2	1	1	1	1	1	1	2	1	
d/mammalia/mammalia-voles-rob-trapping-02.edges	60	91	[1,6]	8|0	8|20	7	4	3	4	3	2	2	2	2	2	4	2	
d/mammalia/mammalia-voles-bhp-trapping-54.edges	1437	23	[1,4]	5|0	17|10	4	1	1	1	1	1	1	1	1	1	1	1	
d/mammalia/mammalia-sheep-dominance.edges	29	235	[1,12]	23|0	0|0	18	7	5	18	5	3	5	3	5	3	18	10	
d/mammalia/mammalia-baboon-grooming-group10.edges	14	30	[1,5]	6|0	0|1	6	5	5	5	5	2	5	2	5	2	5	3	
d/mammalia/mammalia-baboon-grooming-group04.edges	5	4	[1,9]	3|0	1|2	2	0	0	1	0	0	0	0	0	0	1	0	
d/mammalia/mammalia-voles-kcs-trapping-18.edges	365	97	[1,7]	5|0	18|8	5	3	3	3	3	3	2	3	2	3	3	3	
d/mammalia/mammalia-baboon-grooming-group18.edges	11	8	[1,3]	3|0	3|5	3	1	1	1	1	1	1	1	1	1	1	1	
d/mammalia/mammalia-raccoon-proximity-43.edges	25	29	[2,464476]	7|0	2|4	1	0	0	4	0	0	0	0	0	0	1	0	
d/mammalia/mammalia-voles-bhp-trapping-10.edges	159	28	[1,2]	5|0	6|6	5	2	2	2	2	2	2	2	2	2	2	2	
d/mammalia/mammalia-voles-kcs-trapping-61.edges	1208	80	[1,6]	6|0	19|17	6	4	4	2	4	3	2	3	2	3	2	3	
d/mammalia/mammalia-baboon-grooming-group23.edges	24	23	[1,4]	6|0	5|7	6	2	2	2	2	2	2	2	2	2	2	2	
d/mammalia/mammalia-voles-rob-trapping-56.edges	1288	17	[1,4]	4|0	7|5	4	2	2	1	1	2	1	2	1	2	1	2	
d/mammalia/mammalia-voles-bhp-trapping-30.edges	1057	82	[1,12]	6|0	31|22	6	3	3	2	3	3	2	3	2	3	2	3	
d/mammalia/mammalia-voles-plj-trapping-27.edges	710	229	[1,9]	8|0	21|19	7	5	5	4	5	3	4	3	4	3	4	3	
d/mammalia/mammalia-voles-plj-trapping-30.edges	741	28	[1,4]	4|0	21|11	4	1	1	1	1	1	1	1	1	1	1	1	
d/mammalia/mammalia-vampire-bats-foodsharing.edges	22	72	[5,7551]	14|0	5|1	2	1	1	8	1	0	1	0	1	0	1	0	
d/mammalia/mammalia-voles-rob-trapping-44.edges	968	21	[1,4]	4|0	20|6	4	1	1	2	1	1	1	1	1	1	2	1	
d/mammalia/mammalia-voles-kcs-trapping-37.edges	825	56	[1,6]	6|0	15|13	5	2	2	2	2	2	2	2	2	2	2	2	
d/mammalia/mammalia-voles-rob-trapping-05.edges	157	85	[1,6]	7|0	24|15	7	3	3	3	2	2	2	2	2	2	3	2	
d/mammalia/mammalia-voles-plj-trapping-22.edges	362	155	[1,9]	9|0	11|16	8	5	5	4	3	5	2	5	2	5	4	5	
Name 	|V| 	|E| 	Lifetime 	Max|Min Degree 	#deg 1|2 	(un)stability 	pair stability 	pair stability v2 	c 	delta1=0, delta2=0 	weak max(gamma,unstability) 	delta1=0, delta2=5 	weak max(gamma,unstability) 	delta1=0, delta2=10 	weak max(gamma,unstability) 	delta1=5, delta2=10 	weak max(gamma,unstability) 	
d/mammalia/mammalia-voles-bhp-trapping-02.edges	26	33	[1,6]	5|0	6|7	5	3	2	2	2	2	2	2	2	2	2	2	
d/mammalia/mammalia-raccoon-proximity-33.edges	25	39	[8,115083]	11|0	0|2	1	0	0	5	0	0	0	0	0	0	1	0	
d/mammalia/mammalia-voles-bhp-trapping-37.edges	1128	14	[1,3]	4|0	8|6	4	1	1	2	1	1	1	1	1	1	2	1	
d/mammalia/mammalia-raccoon-proximity-30.edges	25	19	[58,604800]	7|0	0|1	1	0	0	5	0	0	0	0	0	0	0	0	
d/mammalia/mammalia-voles-rob-trapping-43.edges	943	2	[1,1]	1|0	4|0	1	0	0	0	0	0	0	0	0	0	0	0	
d/mammalia/mammalia-voles-kcs-trapping-42.edges	852	3	[1,1]	1|0	6|0	1	0	0	0	0	0	0	0	0	0	0	0	
d/mammalia/mammalia-voles-plj-trapping-53.edges	1036	13	[1,3]	2|0	6|10	2	1	1	1	1	1	0	1	0	1	1	1	
d/mammalia/mammalia-raccoon-proximity-44.edges	25	31	[2,361620]	7|0	0|2	2	1	1	5	1	0	1	0	1	0	1	1	
d/mammalia/mammalia-baboon-association-group17.edges	10	15	[1,2]	6|0	0|4	6	2	2	3	2	2	2	2	2	2	3	2	
d/mammalia/mammalia-voles-rob-trapping-37.edges	934	4	[1,2]	3|0	1|2	3	1	1	1	1	0	0	0	0	0	1	0	
d/mammalia/mammalia-raccoon-proximity-29.edges	25	21	[3,587518]	6|0	5|1	2	0	0	4	0	0	0	0	0	0	1	0	
